timestamp,data
10063000,50.0
10064000,44.0
10065000,42.0
10066000,35.0
10067000,50.0
10068000,41.0
10069000,42.0
10070000,40.0
10071000,36.0
10072000,54.0
10073000,44.0
10074000,41.0
10075000,38.0
10076000,37.0
10077000,38.0
10078000,28.0
10079000,39.0
10080000,36.0
10081000,37.0
10082000,34.0
10083000,37.0
10084000,34.0
10085000,44.0
10086000,28.0
10087000,32.0
10088000,38.0
10089000,43.0
10090000,39.0
10091000,41.0
10092000,41.0
10093000,42.0
10094000,45.0
10095000,38.0
10096000,37.0
10097000,38.0
10098000,36.0
10099000,40.0
10100000,40.0
10101000,43.0
10102000,40.0
10103000,32.0
10104000,33.0
10105000,51.0
10106000,38.0
10107000,49.0
10108000,38.0
10109000,31.0
10110000,28.0
10111000,48.0
10112000,45.0
10113000,43.0
10114000,42.0
10115000,46.0
10116000,43.0
10117000,46.0
10118000,41.0
10119000,60.0
10120000,25.0
10121000,44.0
10122000,31.0
10123000,37.0
10124000,33.0
10125000,34.0
10126000,36.0
10127000,36.0
10128000,41.0
10129000,38.0
10130000,38.0
10131000,37.0
10132000,33.0
10133000,34.0
10134000,35.0
10135000,35.0
10136000,38.0
10137000,47.0
10138000,41.0
10139000,41.0
10140000,38.0
10141000,50.0
10142000,31.0
10143000,40.0
10144000,58.0
10145000,35.0
10146000,57.0
10147000,48.0
10148000,42.0
10149000,30.0
10150000,39.0
10151000,40.0
10152000,44.0
10153000,47.0
10154000,44.0
10155000,43.0
10156000,49.0
10157000,48.0
10158000,33.0
10159000,41.0
10160000,52.0
10161000,45.0
10162000,31.0
10163000,45.0
10164000,31.0
10165000,35.0
10166000,33.0
10167000,41.0
10168000,33.0
10169000,47.0
10170000,44.0
10171000,32.0
10172000,46.0
10173000,39.0
10174000,40.0
10175000,33.0
10176000,40.0
10177000,47.0
10178000,33.0
10179000,51.0
10180000,27.0
10181000,41.0
10182000,39.0
10183000,45.0
10184000,34.0
10185000,43.0
10186000,45.0
10187000,36.0
10188000,38.0
10189000,41.0
10190000,34.0
10191000,34.0
10192000,35.0
10193000,36.0
10194000,45.0
10195000,40.0
10196000,37.0
10197000,51.0
10198000,31.0
10199000,39.0
10200000,31.0
10201000,39.0
10202000,40.0
10203000,43.0
10204000,38.0
10205000,50.0
10206000,42.0
10207000,49.0
10208000,38.0
10209000,44.0
10210000,41.0
10211000,44.0
10212000,42.0
10213000,42.0
10214000,36.0
10215000,25.0
10216000,32.0
10217000,39.0
10218000,44.0
10219000,27.0
10220000,39.0
10221000,42.0
10222000,34.0
10223000,36.0
10224000,35.0
10225000,34.0
